Job ID: 9550842
Node:   g8
GPU:    0
Run:    adapter_base_rlrop
Extra:  none
Start:  Sun Jun 28 21:11:06 EDT 2026
Device: cuda
initialize_weights...
[model] Channel adapter: 96 → 3 → 64 (1-layer 1×1 + pretrained 3×3)
[model] backbone: MedViT_base  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
Config saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/channel_adapter/output/adapter_base_rlrop/config.json
Total: 451  csPCa: 65  ciPCa: 386
Split → train: 315 (csPCa=45) | val: 68 (csPCa=10) | test: 68 (csPCa=10)

==================================================
Train: 315 (csPCa=45, ciPCa=270)
Val:   68   (csPCa=10, ciPCa=58)
initialize_weights...
[model] Pretrained backbone loaded from /N/slate/ohjiye/medvit_ckpt/MedViT_base.pth
[model] Channel adapter: 96 → 3 → 64 (1-layer 1×1 + pretrained 3×3)
[model] backbone: MedViT_base  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
  Class weights: ciPCa=0.583  csPCa=3.500  (1:6.0)
  Loss: CrossEntropyLoss
  Optimizer: backbone LR=1e-05, adapter LR=0.0001, proj_head LR=0.0003
  Epoch  39/150 | loss: 0.2315 | val AUC: 0.6397 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  Epoch  40/150 | loss: 0.1990 | val AUC: 0.6672 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  LR reduced: 7.5e-05 → 3.7e-05  (patience reset)
  Epoch  41/150 | loss: 0.0699 | val AUC: 0.6759 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  Epoch  42/150 | loss: 0.1871 | val AUC: 0.6621 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  Epoch  43/150 | loss: 0.1019 | val AUC: 0.6397 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  Epoch  44/150 | loss: 0.1543 | val AUC: 0.6603 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  Epoch  45/150 | loss: 0.1157 | val AUC: 0.6552 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  Epoch  46/150 | loss: 0.1408 | val AUC: 0.6621 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  Epoch  47/150 | loss: 0.1469 | val AUC: 0.6621 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  Epoch  48/150 | loss: 0.1793 | val AUC: 0.6310 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  Epoch  49/150 | loss: 0.1333 | val AUC: 0.5741 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  Epoch  50/150 | loss: 0.1466 | val AUC: 0.5966 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  Epoch  51/150 | loss: 0.2225 | val AUC: 0.6190 | LR bb=6.3e-07 adapter=6.3e-06 hd=1.9e-05
  LR reduced: 3.7e-05 → 1.9e-05  (patience reset)
  Epoch  52/150 | loss: 0.1665 | val AUC: 0.6293 | LR bb=6.3e-07 adapter=6.3e-06 hd=1.9e-05
  Epoch  53/150 | loss: 0.1061 | val AUC: 0.6138 | LR bb=6.3e-07 adapter=6.3e-06 hd=1.9e-05
  Epoch  54/150 | loss: 0.1297 | val AUC: 0.5931 | LR bb=6.3e-07 adapter=6.3e-06 hd=1.9e-05
  Epoch  55/150 | loss: 0.1570 | val AUC: 0.6155 | LR bb=6.3e-07 adapter=6.3e-06 hd=1.9e-05
  Epoch  56/150 | loss: 0.1733 | val AUC: 0.6052 | LR bb=6.3e-07 adapter=6.3e-06 hd=1.9e-05
  Epoch  57/150 | loss: 0.2287 | val AUC: 0.6034 | LR bb=6.3e-07 adapter=6.3e-06 hd=1.9e-05
  Epoch  58/150 | loss: 0.0889 | val AUC: 0.6293 | LR bb=6.3e-07 adapter=6.3e-06 hd=1.9e-05
  Epoch  59/150 | loss: 0.1936 | val AUC: 0.6190 | LR bb=6.3e-07 adapter=6.3e-06 hd=1.9e-05
  Epoch  60/150 | loss: 0.2982 | val AUC: 0.6155 | LR bb=6.3e-07 adapter=6.3e-06 hd=1.9e-05
  Epoch  61/150 | loss: 0.2488 | val AUC: 0.6414 | LR bb=6.3e-07 adapter=6.3e-06 hd=1.9e-05
  Epoch  62/150 | loss: 0.2048 | val AUC: 0.6448 | LR bb=3.1e-07 adapter=3.1e-06 hd=9.4e-06
  LR reduced: 1.9e-05 → 9.4e-06  (patience reset)
  Epoch  63/150 | loss: 0.1757 | val AUC: 0.6034 | LR bb=3.1e-07 adapter=3.1e-06 hd=9.4e-06
  Epoch  64/150 | loss: 0.1450 | val AUC: 0.6259 | LR bb=3.1e-07 adapter=3.1e-06 hd=9.4e-06
  Epoch  65/150 | loss: 0.1079 | val AUC: 0.6293 | LR bb=3.1e-07 adapter=3.1e-06 hd=9.4e-06
  Epoch  66/150 | loss: 0.1591 | val AUC: 0.6259 | LR bb=3.1e-07 adapter=3.1e-06 hd=9.4e-06
  Epoch  67/150 | loss: 0.1888 | val AUC: 0.6259 | LR bb=3.1e-07 adapter=3.1e-06 hd=9.4e-06
  Epoch  68/150 | loss: 0.0503 | val AUC: 0.6379 | LR bb=3.1e-07 adapter=3.1e-06 hd=9.4e-06
  Epoch  69/150 | loss: 0.1187 | val AUC: 0.5741 | LR bb=3.1e-07 adapter=3.1e-06 hd=9.4e-06
  Epoch  70/150 | loss: 0.1438 | val AUC: 0.6034 | LR bb=3.1e-07 adapter=3.1e-06 hd=9.4e-06
  Epoch  71/150 | loss: 0.1009 | val AUC: 0.6069 | LR bb=3.1e-07 adapter=3.1e-06 hd=9.4e-06
  Epoch  72/150 | loss: 0.1325 | val AUC: 0.6069 | LR bb=3.1e-07 adapter=3.1e-06 hd=9.4e-06
  Epoch  73/150 | loss: 0.0910 | val AUC: 0.6000 | LR bb=1.6e-07 adapter=1.6e-06 hd=4.7e-06
  LR reduced: 9.4e-06 → 4.7e-06  (patience reset)
  Epoch  74/150 | loss: 0.1580 | val AUC: 0.5914 | LR bb=1.6e-07 adapter=1.6e-06 hd=4.7e-06
  Epoch  75/150 | loss: 0.2531 | val AUC: 0.6172 | LR bb=1.6e-07 adapter=1.6e-06 hd=4.7e-06
  Epoch  76/150 | loss: 0.2091 | val AUC: 0.6086 | LR bb=1.6e-07 adapter=1.6e-06 hd=4.7e-06
  Epoch  77/150 | loss: 0.2416 | val AUC: 0.6000 | LR bb=1.6e-07 adapter=1.6e-06 hd=4.7e-06
  Epoch  78/150 | loss: 0.1514 | val AUC: 0.5966 | LR bb=1.6e-07 adapter=1.6e-06 hd=4.7e-06
  Epoch  79/150 | loss: 0.2557 | val AUC: 0.5845 | LR bb=1.6e-07 adapter=1.6e-06 hd=4.7e-06
  Epoch  80/150 | loss: 0.1904 | val AUC: 0.6207 | LR bb=1.6e-07 adapter=1.6e-06 hd=4.7e-06
  Epoch  81/150 | loss: 0.1542 | val AUC: 0.6103 | LR bb=1.6e-07 adapter=1.6e-06 hd=4.7e-06
  Epoch  82/150 | loss: 0.1090 | val AUC: 0.6241 | LR bb=1.6e-07 adapter=1.6e-06 hd=4.7e-06
  Epoch  83/150 | loss: 0.1425 | val AUC: 0.5966 | LR bb=1.6e-07 adapter=1.6e-06 hd=4.7e-06
  Epoch  84/150 | loss: 0.1873 | val AUC: 0.6155 | LR bb=1.0e-07 adapter=7.8e-07 hd=2.3e-06
  LR reduced: 4.7e-06 → 2.3e-06  (patience reset)
  Epoch  85/150 | loss: 0.1874 | val AUC: 0.6259 | LR bb=1.0e-07 adapter=7.8e-07 hd=2.3e-06
  Epoch  86/150 | loss: 0.1182 | val AUC: 0.6121 | LR bb=1.0e-07 adapter=7.8e-07 hd=2.3e-06
  Epoch  87/150 | loss: 0.1648 | val AUC: 0.6000 | LR bb=1.0e-07 adapter=7.8e-07 hd=2.3e-06
  Epoch  88/150 | loss: 0.1187 | val AUC: 0.6121 | LR bb=1.0e-07 adapter=7.8e-07 hd=2.3e-06
  Epoch  89/150 | loss: 0.1755 | val AUC: 0.6190 | LR bb=1.0e-07 adapter=7.8e-07 hd=2.3e-06
  Epoch  90/150 | loss: 0.1259 | val AUC: 0.5966 | LR bb=1.0e-07 adapter=7.8e-07 hd=2.3e-06
  Epoch  91/150 | loss: 0.1847 | val AUC: 0.6121 | LR bb=1.0e-07 adapter=7.8e-07 hd=2.3e-06
  Epoch  92/150 | loss: 0.1724 | val AUC: 0.6017 | LR bb=1.0e-07 adapter=7.8e-07 hd=2.3e-06
  Epoch  93/150 | loss: 0.1905 | val AUC: 0.5931 | LR bb=1.0e-07 adapter=7.8e-07 hd=2.3e-06
  Epoch  94/150 | loss: 0.1338 | val AUC: 0.6017 | LR bb=1.0e-07 adapter=7.8e-07 hd=2.3e-06
  Epoch  95/150 | loss: 0.1417 | val AUC: 0.6345 | LR bb=1.0e-07 adapter=3.9e-07 hd=1.2e-06
  LR reduced: 2.3e-06 → 1.2e-06  (patience reset)
  Epoch  96/150 | loss: 0.0879 | val AUC: 0.6241 | LR bb=1.0e-07 adapter=3.9e-07 hd=1.2e-06
  Epoch  97/150 | loss: 0.2395 | val AUC: 0.6121 | LR bb=1.0e-07 adapter=3.9e-07 hd=1.2e-06
  Epoch  98/150 | loss: 0.1089 | val AUC: 0.5897 | LR bb=1.0e-07 adapter=3.9e-07 hd=1.2e-06
  Epoch  99/150 | loss: 0.1001 | val AUC: 0.6086 | LR bb=1.0e-07 adapter=3.9e-07 hd=1.2e-06
  Epoch 100/150 | loss: 0.1046 | val AUC: 0.6448 | LR bb=1.0e-07 adapter=3.9e-07 hd=1.2e-06
  Epoch 101/150 | loss: 0.1736 | val AUC: 0.6414 | LR bb=1.0e-07 adapter=3.9e-07 hd=1.2e-06
