Job ID: 9550841
Node:   g7
GPU:    0
Run:    focal_deep_rlrop
Extra:  --focal-gamma 2.0 --head-depth 2
Start:  Sun Jun 28 21:11:06 EDT 2026
Device: cuda
initialize_weights...
[model] First conv inflated: 3 → 96 channels (weight tiling ÷32)
[model] backbone: MedViT_small  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
Config saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/weight_tiling/output/focal_deep_rlrop/config.json
Total: 451  csPCa: 65  ciPCa: 386
Split → train: 315 (csPCa=45) | val: 68 (csPCa=10) | test: 68 (csPCa=10)

==================================================
Train: 315 (csPCa=45, ciPCa=270)
Val:   68   (csPCa=10, ciPCa=58)
initialize_weights...
[model] Pretrained backbone loaded from /N/slate/ohjiye/medvit_ckpt/MedViT_small.pth
[model] First conv inflated: 3 → 96 channels (weight tiling ÷32)
[model] backbone: MedViT_small  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
  Class weights: ciPCa=0.583  csPCa=3.500  (1:6.0)
  Loss: FocalLoss(gamma=2.0)
  Optimizer: backbone LR=1e-05, head(stem+proj) LR=0.0003
  Epoch  46/150 | loss: 0.0894 | val AUC: 0.7052 | LR bb=6.3e-07 hd=1.9e-05
  LR reduced: 3.7e-05 → 1.9e-05  (patience reset)
  Epoch  47/150 | loss: 0.0354 | val AUC: 0.6983 | LR bb=6.3e-07 hd=1.9e-05
  Epoch  48/150 | loss: 0.0216 | val AUC: 0.7121 | LR bb=6.3e-07 hd=1.9e-05
  Epoch  49/150 | loss: 0.1264 | val AUC: 0.7138 | LR bb=6.3e-07 hd=1.9e-05
  Epoch  50/150 | loss: 0.0281 | val AUC: 0.7086 | LR bb=6.3e-07 hd=1.9e-05
  Epoch  51/150 | loss: 0.0910 | val AUC: 0.7207 | LR bb=6.3e-07 hd=1.9e-05
  Epoch  52/150 | loss: 0.0942 | val AUC: 0.6948 | LR bb=6.3e-07 hd=1.9e-05
  Epoch  53/150 | loss: 0.0929 | val AUC: 0.7086 | LR bb=6.3e-07 hd=1.9e-05
  Epoch  54/150 | loss: 0.1058 | val AUC: 0.7103 | LR bb=6.3e-07 hd=1.9e-05
  Epoch  55/150 | loss: 0.0764 | val AUC: 0.7207 | LR bb=6.3e-07 hd=1.9e-05
  Epoch  56/150 | loss: 0.0187 | val AUC: 0.7138 | LR bb=6.3e-07 hd=1.9e-05
  Epoch  57/150 | loss: 0.0499 | val AUC: 0.7155 | LR bb=3.1e-07 hd=9.4e-06
  LR reduced: 1.9e-05 → 9.4e-06  (patience reset)
  Epoch  58/150 | loss: 0.1006 | val AUC: 0.7155 | LR bb=3.1e-07 hd=9.4e-06
  Epoch  59/150 | loss: 0.0361 | val AUC: 0.7155 | LR bb=3.1e-07 hd=9.4e-06
  Epoch  60/150 | loss: 0.0309 | val AUC: 0.7000 | LR bb=3.1e-07 hd=9.4e-06
  Epoch  61/150 | loss: 0.0360 | val AUC: 0.7017 | LR bb=3.1e-07 hd=9.4e-06
